reading samples from samples.dat, ignoring first 50
mean: -75.68325816262414
blocked statistics:
block size    # of blocks        mean                error
     1            250       -7.56832582e+01       2.343883e-04
     2            125       -7.56832582e+01       2.726464e-04
     5             50       -7.56832582e+01       3.271273e-04
    10             25       -7.56832582e+01       3.273970e-04
    20             12       -7.56831806e+01       2.966302e-04
    50              5       -7.56832582e+01       2.916292e-04
    70              3       -7.56831386e+01       4.896637e-04
   100              2       -7.56831996e+01       7.699199e-04
