reading samples from samples.dat, ignoring first 50
mean: -859.4676715998273
blocked statistics:
block size    # of blocks        mean                error
     1            450       -8.59467672e+02       1.745835e-04
     2            225       -8.59467672e+02       2.212575e-04
     5             90       -8.59467672e+02       2.916485e-04
    10             45       -8.59467672e+02       3.254546e-04
    20             22       -8.59467662e+02       3.705350e-04
    50              9       -8.59467672e+02       2.922823e-04
    70              6       -8.59467611e+02       3.458259e-04
   100              4       -8.59467649e+02       4.024920e-04
   200              2       -8.59467649e+02       6.043319e-04
